Fund_ID,Fund_Name,Organization_Name,Category,Fundraising_Goal_USD,Amount_Raised_USD,Start_Date,End_Date,Duration_Days,Status,Donor_Count,Average_Donation_USD,Top_Donor_Amount_USD,Currency,Fundraising_Platform,Campaign_Type,Is_Tax_Exempt,Marketing_Spend_USD,Region,Sub_Region,World_Part,Country,City,Organizer_Name,Organizer_Experience_Years,Organizer_Contact_Email,Social_Media_Reach,Media_Coverage_Score,Volunteer_Count,Fund_Transparency_Score,Repeat_Donors_Percentage,Mobile_Donations_Allowed,Payment_Gateway_Used,Fundraising_Cost_Percent,External_Funding_Received,Main_Beneficiary_Age_Group,Fundraising_Method,Comments_Count
10,Enterprise-wide responsive parallelism,Jones Ltd,Education,438206,233227,2023-12-02,2024-03-31,120,Active,821,284.08,1298.2,AUD,Kickstarter,Offline,Yes,52153,Oceania,Melanesia,Developing,Monaco,Ericside,Ashley Chan,8,floresjonathan@byrd-crosby.com,614689,42.92619094992881,129,3.4844911502205433,95.65562949320184,Yes,JustGiving,20.41,No,Children,Grants,706
11,Advanced disintermediate parallelism,Snyder-Mills,Education,176982,61149,2024-03-01,2024-05-21,81,Cancelled,1770,34.55,80.9,GBP,JustGiving,Hybrid,Yes,93127,North America,USA,Developed,Papua New Guinea,Reedfort,James Smith,12,wmalone@cox.com,662102,66.02319469884519,360,2.0074015195133024,42.00459770259268,No,Indiegogo,4.22,Yes,Adults,Crowdfunding,697
12,Re-engineered logistical collaboration,Boyd Ltd,Startup,152325,64924,2022-06-10,2022-07-25,45,Completed,690,94.09,232.6,USD,Kickstarter,Hybrid,No,75943,Africa,East Africa,Developing,Taiwan,West Joannaton,Victor Brennan,11,ballardamber@gmail.com,922582,68.84266081994427,26,1.3774442287277688,55.05517698590873,No,Indiegogo,4.67,Yes,Adults,Grants,788
13,Triple-buffered upward-trending hub,"Gill, Jones and Leblanc",Climate,400507,217991,2022-04-11,2022-05-12,31,Suspended,1588,137.27,471.63,USD,Kickstarter,Hybrid,Yes,50277,Oceania,New Zealand,Underdeveloped,Jersey,Port Brandy,Alicia Cervantes,3,knightmegan@beck-walls.biz,438360,45.24339310760402,192,4.7566668110418755,79.0465701586695,No,JustGiving,29.73,Yes,Youth,Grants,344
14,Grass-roots even-keeled installation,Myers Ltd,Climate,388783,301187,2022-12-04,2023-04-06,123,Cancelled,1515,198.8,551.64,USD,Kickstarter,Online,Yes,17549,Africa,East Africa,Underdeveloped,Georgia,New Christopher,Kathy Powell,15,melissa37@gmail.com,726536,24.368941738114348,184,5.559668930438275,92.84501223464399,Yes,Indiegogo,5.07,Yes,Elderly,Crowdfunding,393
15,Reactive coherent Graphic Interface,Lam LLC,Startup,475495,265925,2023-02-06,2023-05-12,95,Active,274,970.53,4607.18,GBP,GoFundMe,Offline,No,13574,South America,Brazil,Developing,Japan,Erinmouth,Sierra Hess,22,contrerasjared@yahoo.com,40845,31.53790959276175,5,4.019498775172471,17.24694870394512,No,Indiegogo,21.45,Yes,Youth,Grants,851
16,User-centric tertiary Internet solution,Reed-Shaw,Startup,58105,43398,2023-06-17,2023-10-07,112,Suspended,1918,22.63,70.77,AUD,JustGiving,Online,No,49130,Africa,East Africa,Developing,Seychelles,Lake Julieview,Jeffrey Johnson,12,erin87@yahoo.com,714282,4.228220509197311,419,5.815667779319265,11.35729030738708,Yes,Kickstarter,28.34,No,Adults,Grants,910
17,De-engineered tertiary archive,"Baldwin, Murray and Johnson",Climate,403960,142764,2024-01-14,2024-02-24,41,Suspended,1945,73.4,268.88,AUD,Indiegogo,Online,Yes,14348,North America,Mexico,Developing,Panama,East Christopher,Jodi Ortega,20,carlsonmichael@malone.com,435237,19.364122355830194,462,5.021930513600755,89.998292208971,Yes,JustGiving,20.63,No,Elderly,Events,232
18,Cloned foreground alliance,Wilkinson-Miller,Startup,156237,66370,2023-12-30,2024-05-07,129,Cancelled,1790,37.08,124.38,EUR,Indiegogo,Hybrid,Yes,56907,South America,Chile,Underdeveloped,Eritrea,Youngburgh,Heidi Pierce,5,johnsonwilliam@harmon-hill.org,224884,79.01167282609204,443,3.2158436896185485,50.0215566089873,No,GoFundMe,27.95,Yes,Elderly,Subscription,429
19,Switchable system-worthy paradigm,Wiggins-Elliott,Disaster Relief,275403,218390,2023-08-25,2023-09-27,33,Active,763,286.23,608.01,GBP,Kickstarter,Hybrid,No,35576,Europe,Western Europe,Developed,Guam,Port Jasmineside,Christina Miller,10,jessicafrench@hatfield.com,689372,13.940575900136187,44,8.713819997251653,3.8339693873034486,No,GoFundMe,21.69,No,Adults,Grants,538
20,Customer-focused background throughput,Chang-Manning,Arts,429422,383360,2022-06-11,2022-11-27,169,Completed,1545,248.13,1203.95,USD,Indiegogo,Online,Yes,29289,Asia,East Asia,Developing,Norfolk Island,East Laurenburgh,Kristi Green,11,ahunt@hotmail.com,412910,89.33694271847764,103,8.316413424849324,56.16170738715295,Yes,JustGiving,16.21,Yes,Adults,Subscription,973
21,Distributed bifurcated projection,Lester-Griffith,Arts,124494,87316,2023-12-08,2024-04-10,124,Suspended,758,115.19,498.23,AUD,Kickstarter,Online,No,44323,South America,Brazil,Underdeveloped,Niue,Jamesstad,Geoffrey Clements,10,reneesanford@gmail.com,886471,73.34395228971806,344,6.016372859679516,84.07127198234306,Yes,GoFundMe,27.57,Yes,Children,Grants,505
22,Future-proofed analyzing installation,Farrell Group,Education,194723,166972,2022-07-11,2022-09-24,75,Suspended,1240,134.65,580.83,GBP,Kickstarter,Hybrid,No,40401,South America,Argentina,Developed,Sweden,West Juanberg,Brittany Pierce,2,williamburke@hotmail.com,119897,73.49280378550995,484,3.636156729302681,36.794028332901505,Yes,JustGiving,9.73,No,Youth,Grants,408
23,Synergized 5thgeneration complexity,Rogers Inc,Disaster Relief,137519,16989,2022-10-09,2023-02-08,122,Cancelled,647,26.26,122.6,INR,Kickstarter,Offline,Yes,30836,Europe,Southern Europe,Underdeveloped,Tonga,Rioschester,Dr. Stephanie Graham,0,joshuaadams@yahoo.com,43670,42.678057725345695,52,6.721659017323045,86.83662402904835,No,Kickstarter,6.54,Yes,Youth,Grants,344
24,Quality-focused asymmetric database,Patterson Ltd,Disaster Relief,439202,385142,2023-02-02,2023-07-15,163,Cancelled,1046,368.2,871.09,USD,GoFundMe,Hybrid,Yes,57898,Africa,East Africa,Underdeveloped,Cocos (Keeling) Islands,Port Johnhaven,Renee Simmons,19,swilliams@yahoo.com,617724,22.926595137790052,411,7.844497158117568,53.217298407474956,No,Indiegogo,2.87,Yes,Adults,Crowdfunding,597
25,Distributed 5thgeneration task-force,"Johnson, Garcia and Cuevas",Arts,470561,264633,2023-11-14,2024-02-24,102,Cancelled,1975,133.99,329.66,EUR,JustGiving,Hybrid,No,31761,Africa,North Africa,Developing,Serbia,South Calebville,Ariel King,12,robinsontaylor@hotmail.com,107520,24.172762205004528,318,2.999400078242973,93.37990242118951,Yes,JustGiving,18.29,No,Adults,Events,43
26,Re-contextualized didactic architecture,Charles Group,Arts,178761,81115,2022-05-14,2022-10-18,157,Active,1898,42.74,172.49,EUR,Kickstarter,Hybrid,No,58440,Africa,East Africa,Underdeveloped,Palau,South Devinbury,Brandon Miller,9,vanessa29@castillo.biz,787525,83.20255807642008,381,1.4066980793050976,5.8986578604179885,No,GoFundMe,23.0,No,Children,Crowdfunding,404
27,Sharable exuding emulation,"Gilbert, Patel and Benson",Startup,108545,6950,2023-03-18,2023-06-10,84,Cancelled,55,126.36,501.12,GBP,Indiegogo,Hybrid,Yes,55518,Europe,Southern Europe,Underdeveloped,Haiti,West Troybury,Mark Pearson,10,christopherfleming@yahoo.com,418773,91.93124642950224,433,9.268944145791373,11.580728657351669,No,Indiegogo,15.38,No,Adults,Subscription,699
28,Object-based upward-trending groupware,White Inc,Education,214697,119871,2022-07-10,2022-08-16,37,Cancelled,640,187.3,354.17,EUR,GoFundMe,Offline,Yes,17750,Africa,North Africa,Developing,Qatar,South Bradleyland,Hannah Brooks,9,abenitez@patterson.com,322046,62.888006172846445,107,2.5672901203400436,16.314120266192443,No,Kickstarter,25.23,Yes,Children,Grants,842
29,Visionary well-modulated attitude,Austin Inc,Startup,348486,176731,2023-08-08,2023-09-23,46,Active,1012,174.64,662.22,INR,GoFundMe,Hybrid,Yes,10155,Oceania,New Zealand,Developed,Madagascar,New Kelseyland,Stephanie Haley,21,jonathan42@shelton-frank.biz,440444,84.77601944486682,297,4.425121853842937,9.1798707603595,Yes,JustGiving,11.44,Yes,Adults,Crowdfunding,403
30,Multi-lateral neutral strategy,Williams-Bennett,Arts,70517,43757,2023-02-13,2023-05-16,92,Cancelled,382,114.55,317.23,GBP,JustGiving,Hybrid,Yes,9440,Oceania,Australia,Developed,United Kingdom,New Gabrielafurt,Lisa Perez,16,davidtravis@long.com,584557,11.638627078531716,288,5.049456979762964,67.10553681261611,Yes,Indiegogo,12.92,Yes,Elderly,Events,131
31,Ameliorated multi-state archive,Buck LLC,Health,44095,13883,2023-11-08,2024-03-15,128,Active,758,18.32,48.26,GBP,Kickstarter,Offline,No,33204,North America,Mexico,Developed,Hungary,New Timothyland,Jeffrey Harmon,19,watkinsadam@lamb.org,637254,76.70015353217472,277,8.066060209105217,96.14583465532804,No,Indiegogo,11.32,Yes,Elderly,Crowdfunding,355
32,Grass-roots explicit paradigm,Hester Group,Disaster Relief,268083,180606,2022-07-20,2022-12-22,155,Suspended,961,187.94,886.19,GBP,Indiegogo,Hybrid,No,68063,Africa,East Africa,Underdeveloped,Haiti,Christineton,Luke Graham,14,burnsmatthew@gomez.com,947927,21.024260194376097,277,2.343298640168392,15.19468817022862,Yes,Kickstarter,17.24,No,Adults,Grants,965
33,Assimilated didactic core,Diaz-Martinez,Health,337823,178252,2023-03-02,2023-08-14,165,Cancelled,756,235.78,1126.66,GBP,GoFundMe,Offline,No,69242,Asia,South Asia,Developing,Tuvalu,Cynthiaton,Michael Smith,6,christopher64@wilson.com,763834,82.39431446441242,200,7.160900105201939,81.92932964701512,Yes,Kickstarter,2.79,Yes,Youth,Grants,81
34,Sharable scalable utilization,Rivera and Sons,Arts,371283,302474,2023-09-07,2023-11-11,65,Completed,222,1362.5,4044.14,EUR,GoFundMe,Offline,No,77720,Asia,East Asia,Underdeveloped,Kazakhstan,Taylorbury,James Adams,2,rhurley@gmail.com,448111,98.27735151241201,113,2.4420083378894297,72.03231153730533,Yes,Kickstarter,11.72,Yes,Elderly,Crowdfunding,170
35,Face-to-face object-oriented complexity,"Franco, Cruz and Fuentes",Climate,381202,173924,2023-06-15,2023-09-14,91,Completed,122,1425.61,6727.19,USD,Kickstarter,Offline,Yes,53438,Asia,South Asia,Underdeveloped,Gabon,Mejiatown,Cody Gomez,3,xwilliams@williams.net,626397,35.4126023827771,161,1.8403284571926848,36.04957352717088,Yes,Indiegogo,10.07,No,Adults,Events,973
36,Implemented asynchronous knowledgebase,"Reid, Mejia and Jordan",Disaster Relief,374682,232416,2024-02-07,2024-07-17,161,Cancelled,1355,171.52,720.97,GBP,Kickstarter,Hybrid,Yes,32239,North America,Mexico,Underdeveloped,Vanuatu,Lake Frank,Stacy Walter,24,rodriguezfrank@yahoo.com,181999,78.52243829462796,79,9.808662321211267,30.303260922475083,No,JustGiving,21.98,No,Adults,Grants,301
37,Total 4thgeneration methodology,"Richardson, Perry and Perez",Education,290335,22806,2022-10-19,2022-12-22,64,Active,1127,20.24,44.36,AUD,GoFundMe,Offline,Yes,67050,Africa,West Africa,Underdeveloped,Burundi,Noblehaven,Christopher Ford,24,rodneyshaw@norman.com,30698,39.35396466433176,101,1.450488280830593,11.01893401927243,Yes,GoFundMe,4.73,Yes,Youth,Grants,589
38,Open-architected composite function,Anthony Inc,Startup,95433,58239,2023-09-04,2024-01-28,146,Cancelled,372,156.56,759.86,INR,Kickstarter,Online,No,56265,South America,Brazil,Developing,Senegal,Rodriguezfort,Christopher Fletcher,15,vpeters@hotmail.com,744305,82.06028374761713,462,4.758491662576335,29.25210914701465,Yes,Kickstarter,19.11,No,Elderly,Grants,405
39,Profound national collaboration,Davis Ltd,Climate,482919,153742,2024-02-18,2024-04-09,51,Completed,771,199.41,916.65,USD,Kickstarter,Offline,No,26656,Africa,West Africa,Developed,Turkmenistan,Port Kennethfort,Allison Melton,22,kenneth40@yahoo.com,791391,87.26626374800355,216,7.594362235591841,98.44456469962917,No,Kickstarter,16.26,Yes,Children,Crowdfunding,357
40,Exclusive impactful matrix,Miller-Coleman,Health,62623,57246,2023-03-01,2023-06-26,117,Completed,1113,51.43,125.45,AUD,GoFundMe,Online,No,58287,Oceania,New Zealand,Underdeveloped,Comoros,Jaketon,Christina Jackson,8,tdeleon@johnson-simon.net,799932,37.792418221765125,175,2.515884614958731,95.05614552933318,No,GoFundMe,1.41,Yes,Adults,Subscription,111
41,Virtual demand-driven orchestration,Clark PLC,Startup,77826,34715,2022-07-31,2022-12-09,131,Cancelled,864,40.18,181.47,USD,JustGiving,Online,Yes,15180,Asia,South Asia,Underdeveloped,Liechtenstein,Williamsland,Stacey Butler,18,herrerachelsea@white.org,589585,19.175271090068126,8,6.2971572009387415,36.55317807469477,Yes,GoFundMe,26.92,No,Youth,Events,560
42,Mandatory composite array,"Foster, Johnson and Garcia",Disaster Relief,350212,245622,2022-05-03,2022-06-09,37,Cancelled,51,4816.12,11898.18,USD,JustGiving,Hybrid,No,29243,North America,USA,Developing,Malawi,Wheelerborough,Donald Johnson,9,darren13@yahoo.com,199747,75.27424935345113,499,9.287964247745975,84.52237591418992,Yes,Indiegogo,4.71,No,Adults,Crowdfunding,482
43,Extended global complexity,Green and Sons,Arts,272257,3712,2022-05-12,2022-07-20,69,Cancelled,653,5.68,20.2,AUD,Indiegogo,Hybrid,No,32315,North America,USA,Underdeveloped,Afghanistan,Robertport,Mike Wright,0,coxbrittany@yahoo.com,867381,81.56833647616102,358,2.3544448121767783,88.99193548191528,Yes,GoFundMe,8.7,No,Children,Subscription,517
44,Right-sized local application,"West, Wong and Baker",Education,137840,94664,2023-10-18,2024-02-24,129,Active,850,111.37,197.33,GBP,GoFundMe,Hybrid,No,94767,Oceania,Melanesia,Underdeveloped,Ukraine,Robertsmouth,Danielle Hughes,15,davenportcheryl@gmail.com,7707,12.207897255172306,141,2.251850713087035,54.48637311777125,No,JustGiving,21.01,Yes,Elderly,Subscription,720
45,Triple-buffered bandwidth-monitored website,Ellis Inc,Arts,310309,240651,2022-05-02,2022-09-29,150,Completed,83,2899.41,6731.06,EUR,JustGiving,Offline,Yes,47249,North America,Canada,Underdeveloped,Comoros,Lake John,Susan Santos,15,awhite@yahoo.com,799334,20.571407017764532,384,9.0578183170371,74.41723526239048,No,GoFundMe,19.71,No,Adults,Crowdfunding,875
46,Intuitive tangible conglomeration,"Baker, Cortez and Thomas",Startup,444538,388210,2023-06-05,2023-11-30,178,Completed,237,1638.02,5993.51,AUD,Kickstarter,Online,No,22483,Asia,East Asia,Developing,Bulgaria,Jonathanborough,Danielle Rodriguez,6,amyreese@hotmail.com,941654,62.753620495047066,381,5.157764061385921,4.284914789078497,No,JustGiving,21.28,No,Adults,Events,199
47,Assimilated heuristic help-desk,Tucker Ltd,Disaster Relief,168875,155540,2022-07-17,2022-12-16,152,Active,1675,92.86,442.88,USD,JustGiving,Offline,Yes,37303,Asia,East Asia,Underdeveloped,Serbia,Port Damon,Dave Kim,4,angela05@yahoo.com,164364,30.520977525159886,345,1.41139068891317,97.26088265704625,No,JustGiving,29.13,No,Elderly,Subscription,855
48,Intuitive 4thgeneration installation,Moore-Quinn,Education,37660,12331,2023-12-15,2024-02-05,52,Active,826,14.93,54.01,AUD,Indiegogo,Online,Yes,931,North America,USA,Developed,Saint Vincent and the Grenadines,Riosmouth,Robin Martinez,22,riosroger@yahoo.com,82591,37.76907137456512,157,0.9803984647060471,0.7976959649187654,Yes,Kickstarter,26.55,Yes,Elderly,Grants,741
49,Function-based responsive hardware,Cooper-Gutierrez,Arts,240951,116556,2022-09-19,2022-12-23,95,Cancelled,592,196.89,392.36,AUD,GoFundMe,Online,Yes,32421,South America,Brazil,Underdeveloped,Congo,Lake Ianside,Larry Smith,11,sweeneykevin@fowler.info,849587,62.83948259333503,338,0.8041267147545328,23.329173613197117,Yes,Indiegogo,27.3,No,Youth,Crowdfunding,714
50,Customizable intermediate neural-net,Clark LLC,Climate,376697,66225,2022-06-07,2022-08-08,62,Suspended,1673,39.58,172.98,EUR,GoFundMe,Offline,No,87121,North America,USA,Developing,Chad,Vegaberg,Eric Ray,17,christopherwalsh@jackson-hahn.biz,400661,49.1258043354294,146,4.19513897766172,2.047605861202062,No,JustGiving,13.72,No,Youth,Crowdfunding,872
51,Progressive human-resource adapter,Marshall Ltd,Education,98453,19603,2022-06-28,2022-12-19,174,Cancelled,1016,19.29,94.39,EUR,JustGiving,Offline,Yes,11990,Asia,East Asia,Underdeveloped,Turks and Caicos Islands,New Whitney,Austin Luna,21,david59@hamilton.com,995399,69.78288037745943,393,7.2423146929892095,69.87006146291948,No,JustGiving,14.31,No,Elderly,Subscription,448
52,Self-enabling systemic forecast,"Oliver, Dawson and Wiggins",Health,487683,273542,2022-12-21,2023-03-22,91,Cancelled,241,1135.03,1858.26,INR,GoFundMe,Offline,No,61073,Asia,East Asia,Developing,Cameroon,Russellchester,Jessica Mack,21,heather99@anderson.info,364151,99.37685854246807,332,6.371228468084631,37.60369393828371,Yes,GoFundMe,8.52,Yes,Children,Grants,872
53,Vision-oriented optimal collaboration,Cannon PLC,Education,414656,234991,2022-11-13,2023-04-23,161,Completed,1867,125.87,340.64,EUR,JustGiving,Hybrid,No,28027,North America,Canada,Developed,Bouvet Island (Bouvetoya),Debrabury,Heather Owens DVM,16,jennifer69@yahoo.com,38456,91.26806101520415,468,4.3018879829343994,80.31843318647778,Yes,JustGiving,4.62,Yes,Elderly,Events,283
54,Multi-lateral mission-critical parallelism,Riddle-King,Health,324241,91986,2024-03-29,2024-08-02,126,Active,1358,67.74,274.77,GBP,GoFundMe,Hybrid,Yes,63099,Asia,Southeast Asia,Developing,Netherlands,Brennanside,Joshua Cook DDS,17,cameronramirez@rodriguez-ramos.biz,547497,96.85509432370488,441,6.86957243316277,58.016651185820265,Yes,JustGiving,15.72,Yes,Elderly,Subscription,797
55,Expanded heuristic time-frame,"Peterson, Berry and Day",Health,314072,236981,2022-07-05,2022-09-10,67,Cancelled,1066,222.31,983.38,USD,JustGiving,Offline,Yes,7994,Oceania,Australia,Developed,Turks and Caicos Islands,Lake Ashleyville,Margaret Mccoy,21,sandrakirk@gmail.com,254425,23.73611193219769,126,8.554269430741526,9.847370829195023,No,Kickstarter,15.79,Yes,Elderly,Grants,423
56,Synchronized multimedia application,West and Sons,Disaster Relief,228755,91935,2023-12-16,2024-03-19,94,Active,223,412.26,1489.41,EUR,GoFundMe,Online,No,1505,Europe,Southern Europe,Developing,Uzbekistan,New Kimberlyside,Anthony Miller,17,bcherry@gross.org,301580,49.66982238798666,146,5.064143021782813,9.50361245933291,No,JustGiving,28.47,No,Children,Events,114
57,Down-sized static productivity,Wilson-Gilbert,Education,170435,127219,2024-04-07,2024-07-07,91,Completed,1846,68.92,184.78,EUR,Indiegogo,Hybrid,Yes,764,Asia,East Asia,Developed,Cyprus,Cookburgh,Tammy Gregory,25,ginagregory@hotmail.com,174043,83.82069014357502,440,6.412677334220451,86.14455262000092,Yes,GoFundMe,19.35,Yes,Adults,Grants,789
58,Streamlined multi-tasking initiative,Wall-Murphy,Education,245497,240869,2022-08-25,2022-11-24,91,Completed,1701,141.6,304.42,INR,GoFundMe,Hybrid,No,62144,Asia,South Asia,Underdeveloped,Hungary,Newtonchester,Joseph Tucker,2,kimpamela@johnston.com,369429,83.86735903860006,28,7.661379036363405,4.732013220411568,No,JustGiving,29.42,Yes,Children,Events,314
59,Secured methodical encryption,Hurley-Lindsey,Arts,45369,23687,2024-02-16,2024-06-29,134,Completed,754,31.42,126.87,USD,GoFundMe,Offline,Yes,12346,Europe,Southern Europe,Developed,Pakistan,Westburgh,David Thompson,22,ygray@davidson.biz,480441,97.3081661092241,338,8.566894457558526,78.89746223018216,No,JustGiving,3.4,No,Adults,Events,351
60,Balanced system-worthy intranet,Rodriguez LLC,Startup,257468,195840,2023-01-03,2023-04-07,94,Cancelled,1732,113.07,243.96,AUD,GoFundMe,Offline,Yes,54641,Africa,West Africa,Underdeveloped,Saudi Arabia,Port Michaelland,Tiffany Bryant,1,phillip65@gmail.com,125909,96.69462114638014,105,8.349790604544577,1.4070866485054734,No,JustGiving,10.6,No,Youth,Subscription,68
61,Robust solution-oriented migration,"Daniels, Martinez and Burns",Health,278159,179393,2023-06-06,2023-08-08,63,Suspended,1850,96.97,276.31,INR,Indiegogo,Hybrid,No,9133,Europe,Western Europe,Developed,Grenada,Gilbertland,Nicolas Taylor,9,ashleyzamora@gmail.com,690810,28.668097432033658,237,6.769041014782646,86.15659710632806,No,Indiegogo,2.64,Yes,Youth,Grants,96
62,Multi-layered responsive task-force,Li LLC,Education,79124,70067,2022-10-02,2022-11-16,45,Suspended,1911,36.67,178.28,USD,JustGiving,Online,Yes,55996,Africa,East Africa,Underdeveloped,Honduras,Port Cindyport,Madeline Bowman,24,samanthaadams@gmail.com,630820,33.049657866132954,223,8.010272180808235,72.43765894368511,Yes,JustGiving,5.2,Yes,Children,Crowdfunding,606
63,Balanced 6thgeneration leverage,"Sparks, Watson and White",Disaster Relief,413550,231335,2023-03-16,2023-05-12,57,Suspended,1806,128.09,464.24,GBP,GoFundMe,Online,Yes,27341,Oceania,New Zealand,Underdeveloped,Turkey,North Dawn,Kevin Harris,7,laura77@galvan.com,950742,94.31549270730328,149,5.52482232405808,37.74344894852902,No,Indiegogo,25.66,Yes,Adults,Crowdfunding,465
64,Integrated 24hour knowledgebase,Diaz Group,Education,109056,42963,2023-06-05,2023-09-22,109,Completed,309,139.04,497.8,AUD,Kickstarter,Hybrid,Yes,63590,Africa,North Africa,Developing,Monaco,Jacksonbury,Roy Lawson,15,bobby73@gmail.com,931390,46.57357772084979,179,5.9787686626793946,85.1564583711598,Yes,Indiegogo,11.98,No,Children,Grants,497
65,Virtual reciprocal extranet,Watson-Cole,Education,419817,136519,2022-11-06,2022-12-23,47,Cancelled,319,427.96,1974.63,USD,Kickstarter,Hybrid,Yes,94782,Africa,East Africa,Developed,Mozambique,Robinburgh,Derrick Gibson,23,randy84@thompson-hudson.com,434742,43.824094230996934,208,9.182143060943112,11.479126405984918,No,JustGiving,22.28,Yes,Youth,Events,128
66,Enterprise-wide mobile flexibility,Perez-Terry,Climate,194022,159522,2023-06-30,2023-11-05,128,Completed,207,770.64,1315.61,GBP,JustGiving,Online,No,2228,South America,Brazil,Developing,Afghanistan,Port Sean,Ashley Monroe,0,zbowen@yahoo.com,382549,30.486589326398928,73,9.371796123043241,20.613043523751106,No,JustGiving,28.46,Yes,Youth,Grants,839
67,Mandatory clear-thinking approach,"Huynh, Hansen and Warren",Climate,192974,191514,2023-12-07,2024-04-18,133,Completed,713,268.6,1001.85,EUR,GoFundMe,Offline,Yes,58686,Africa,West Africa,Underdeveloped,Saint Lucia,Lake Antonioview,Peggy Sandoval,24,richardmunoz@hicks.com,628359,20.894302916023634,230,5.9887245850528785,65.34534280896482,Yes,Indiegogo,19.81,No,Children,Grants,905
